"nome","verso"
"À Beira do Pantanal","Foi lá na beira do PantanalSeu corpo tão belo enterreiFoi lá que eu matei minha amadaSua voz na lembrança eu guardei:""Por que, meu queridoPor que, meu amorCravaste em mim teu punhal?Meu peito tão jovem sangrando assimPor que esse golpe mortal?""Assassinei quem amavaNum gesto sagrado de amorO sangue que dela jorravaA sede da terra acalmouE lá onde jaz o seu corpoCresceu junto com o capimSeus lindos cabelos negros que euRegava como um jardimA lei dos homens me condenou:Perpétua será tua prisãoPorque foi eu mesmo quem calouCom aço aquele coraçãoE eu preso aqui nessa celaDeixando minha vida passarAinda escuto a voz delaNo vento que vem perguntar:""Por que, meu queridoPor que, meu amorCravaste em mim teu punhal?Meu peito tão jovem sangrando assimPor que esse golpe mortal?Cravaste em mim teu punhalPor que esse golpe mortal??"
"A Geração da Luz","Eu já ultrapassei a barreira do somFiz o que pude às vezes fora do tomMas a semente que eu ajudei a plantar já nasceuEu vouEu vou m'embora apostando em vocêsMeu testamento deixou minha lucidezVocês vão ver um mundo bem melhor que o meuQuando algum profeta vier lhe contarQue o nosso sol tá prestes a se apagarMesmo que pareça que não há mais lugarVocês ainda têmVocês ainda têmA velocidade da luz pra alcançarVocês ainda têmVocês ainda têmA velocidade da luz pra alcançarEntão vai lá!Além, depois dos velhos preconceitos moraisDos calabouços, bruxas e temporaisOnde o passado transcendeu a um reinado de pazVocês serão o oposto dessa estupidezAventurando tentar outra vezA geração da luz é a esperança no arQuando algum profeta vier lhe contarQue o nosso sol tá prestes a se apagarMesmo que pareça que não há mais lugarVocês ainda têmVocês ainda têmA velocidade da luz pra alcançarVocês ainda têmVocês ainda têmA velocidade da luz pra alcançar"
"A Hora do Trem Passar","Você tão calada e eu com medo de falarJá não sei se é hora de partir ou de chegarOnde eu passo agora não consigo te encontrarOu você já esteve aqui ou nunca vai estarTudo já passou, o trem passou, o barco vaiIsso é tão estranho que eu nem sei como explicarDiga, meu amor, pois eu preciso escolherApagar as luzes, ficar perto de vocêOu aproveitar a solidão do amanhecerPra ver tudo aquilo que eu tenho que saber"
"A Ilha da Fantasia","Vamos logo que já tá na hora de zarparVem sem medo que não vamos naufragarNavegador!Não se esqueça, meu amigo, de chamar o seu vizinhoNavegador!Vê se na praça tem alguém para virA barca de Noé já vai partir, navegadorA barca de Noé já vai partirNavegador!Não se esqueça, meu amigo, de chamar o seu vizinhoNavegador!Vê se na praça tem alguém pra virA barca de Noé tá pra sair, navegadorA barca de Noé já vai partirVamos escolher bem melhores condiçõesLonge desse triste carnaval de ilusõesNavegador!Deixa os que sonham em ser felizesHabitando o paraísoNavegador!Já faz tempo que esperouVivendo sob leis que não criouNavegadorVivendo sob as leis que não criou"
"A Lei","Todo homem tem direitoDe pensar o que quiserTodo homem tem direitoDe amar a quem quiserTodo homem tem direitoDe viver como quiserTodo homem tem direitoDe morrer quando quiserDireito de viverViajar sem passaporteDireito de pensarDe dizer e de escreverDireito de viver pela sua própria leiDireito de pensar de dizer e de escreverDireito de amarComo e com quem ele quiserA lei do forteEssa é a nossa lei e a alegria do mundoFaz o que tu queres, há de ser tudo da leiFazes isso e nenhum outro dirá nãoPois não existe Deus senão o homemTodo o homem tem o direito de viver a não ser pela sua própria leiDa maneira que ele quer viverDe trabalhar como quiser e quando quiserDe brincar como quiserTodo homem tem direito de descansar como quiserDe morrer como quiserO homem tem direito de amar como ele quiserDe beber o que ele quiserDe viver aonde quiserDe mover-se pela face do planeta livremente sem passaportesPorque o planeta é dele, o planeta é nossoO homem tem direito de pensar o que ele quiser, de escrever o que ele quiserDe desenhar, de pintar, de cantar, de compor o que ele quiserTodo homem tem o direito de vestir-se da maneira que ele quiserO homem tem o direito de amar como ele quiser, tomai vossa sede de amor, como quiseres e com quem quiseresHá de ser tudo da leiE o homem tem direito de matar todos aqueles que contrariarem a esses direitosO amor é a lei, mas amor sob vontadeOs escravos servirãoViva a sociedade alternativaViva vivaDireito de viver, viajar sem passaporteDireito de pensar de dizer e de escreverDireito de viver pela sua própria leiDireito de pensar de dizer e de escreverDireito de amar, como e com quem ele quiserTodo homem tem direitoDe pensar o que quiserTodo homem tem direitoDe amar a quem quiserTodo homem tem direitoDe viver como quiserTodo homem tem direitoDe morrer quando quiser"
"A Maçã","Se esse amorFicar entre nós doisVai ser tão pobre amorVai se gastarSe eu te amo e tu me amasUm amor a dois profanaO amor de todos os mortaisPorque quem gosta de maçãIrá gostar de todasPorque todas são iguaisSe eu te amo e tu me amasE outro vem quando tu chamasComo poderei te condenarInfinita tua belezaComo podes ficar presaQue nem santa num altarQuando eu te escolhiPara morar junto de mimEu quis ser tua almaTer seu corpo, tudo enfimMas compreendiQue além de dois existem maisAmor só dura em liberdadeO ciúme é só vaidadeSofro, mas eu vou te libertarO que é que eu queroSe eu te privoDo que eu mais veneroQue é a beleza de deitarQuando eu te escolhiPara morar junto de mimEu quis ser tua almaTer seu corpo, tudo enfimMas compreendiQue além de dois existem maisAmor só dura em liberdadeO ciúme é só vaidadeSofro, mas eu vou te libertarO que é que eu queroSe eu te privoDo que eu mais veneroQue é a beleza de deitar"
"A Pedra do Gênesis","""No fundo do oceano existe um baúQue guarda o segredo almejado desde a aurora dos temposPor gênios, sábios, alquimistas e conquistadoresEu conheci esse baú num estranho ritual reservado a poucosHoje eu posso enfim revelar que essa busca de séculos foi em vão""A Pedra do Gênesis, a Pedra do GênesisEstá bem aqui e agora, a Pedra do GênesisVocê pode tocarÉ a escada do seu velho sonhoQue vai dar sempre onde começouÉ a chave do maior poderQue não vale um chicleteQue alguém mascou, mascouA Pedra do Gênesis, a Pedra do GênesisEstá bem aqui e agora, a Pedra do GênesisVocê pode tocarÉ a Pedra de cada diaQue está no chão de qualquer lugarAonde o mendigo pisaE o santo cospe quando passa nessa pedraA Pedra do Gênesis, a Pedra do GênesisEstá bem aqui e agora, a Pedra do GênesisVocê pode tocarÉ Deus traçando linhas tortasÉ mais um que nasce e começa a morrerJogando jogo da velha, o jogo da guerraSem poder vencer, sem vencerA Pedra do Gênesis, a Pedra do GênesisEstá bem aqui e agora, a Pedra do GênesisVocê pode tocar, a Pedra do Gênesis"
"A Reluctant Messiah","There upon  a time the was a manA common man, like any otherHe had played childish gamesGrown up, became master in having fairBut there was something funny about himHe remembered to had live another lifeIn other distant worldsAnd those beliefs made him upAnd, since he believed in himselfHe became the wisest oneThe people, urgind miraclesStarted to call him GodOh! many ilusionsOh! many ilusionsIn the lights of the sunsetIn the lights of the sunset,How many secrets there are?And while he was working,On the job he had chosen,A huge crowd used to formAsking him about the lifes secretAnd he answered simply""the destiny is made by usIt's us who make our fateIf you have an able mind""Seeing that people are confused,(that's awful they followed him more and more)He fled alone to the forestIn order to ask god what he should doOh! many ilusionsOh! many ilusionsIn the lights of the sunsetIn the lights of the sunset,How many secrets there are?He heard nothing but his own voice saying""let thy will be done, choose your ownAway to be trully happy""And that voice was heardAcross the montains and valleysBefore the true messiahWho never wanted to be workshipedHow many illusions!"
"A Verdade Sobre a Nostalgia","Tudo quanto é velho eles botam pr'eu ouvirE tanta coisa nova jogam fora sem curtirEu não nego que a poesia dos 50 é bonitaMas todo o sentimento dos 70 onde é que fica?Eu vou fazer o que eu gosto...Eu vouDos 50 bonita-taMas os 70 onde é que ele está?Por isso a nostalgia eu tô curtindo sem quererPorque está faltando alguma coisa acontecerMamãe já ouve BeatlesPapai já deslumbrouCom meu cabelo grandeEu fiquei contra o que eu já souEu vou fazer o que eu gostoÉ mãe com os Beatles e o pai falôLogo então eu fiquei contra o que eu já souO rock hoje em dia já mudou, virou outra coisaÉ por isso que eu corto o cabeloNa curva do futuro muito carro capotouTalvez por causa disso é que a estrada ali parouPorém, atrás da curvaPerigosa eu sei que existeAlguma coisa novaMais vibrante e menos tristeEu vou fazer o que eu gostoAtrás da curva do perigo existeAlguma coisa bem mais nova e menos triste"
"Abre-te Sésamo","Lá vou eu de novoUm tanto assustadoCom Ali-BabaE os quarenta ladrõesJá não querem nadaCom a pátria amadaE cada dia maisEnchendo os meus botões...Lá vou eu de novoBrasileiro, brasileiro natoSe eu não morro eu matoEssa desnutriçãoMinha teimosiaBraba de guerreiroÉ que me faz o primeiroDessa procissão...Fecha a porta! Abre a porta!Abre-te SésamoFecha a Porta! Abre a porta!Eu disse:Abre-te Sésamo...Isso aí!E vamos nós de novoVamo na gangorraNo meio da zorra desseDesse vai-e-vemÉ tudo mentiraQuem vai nessa piraAtrás do tesouroDe Ali-bem-bem...É que lá vou eu de novoBrasileiro natoSe eu não morro eu matoEssa desnutriçãoA minha teimosiaBraba de guerreiroÉ que me faz o primeiroDessa procissão...Fecha a Porta! Abre a porta!Abre-te SésamoFecha a Porta! Abre a porta!Abre-te SésamoFecha a Porta! Abre a porta!Eu disse:Abre-te SésamoHêêêêi!Abre a porta!Eu disse:Abre-te Sésamo..."
