,nome,verso
0,À Beira do Pantanal,Foi lá na beira do Pantanal
1,À Beira do Pantanal,Seu corpo tão belo enterrei
2,À Beira do Pantanal,Foi lá que eu matei minha amada
3,À Beira do Pantanal,Sua voz na lembrança eu guardei:
4,À Beira do Pantanal,"""Por que, meu querido"
5,À Beira do Pantanal,"Por que, meu amor"
6,À Beira do Pantanal,Cravaste em mim teu punhal?
7,À Beira do Pantanal,Meu peito tão jovem sangrando assim
8,À Beira do Pantanal,"Por que esse golpe mortal?"""
9,À Beira do Pantanal,Assassinei quem amava
10,À Beira do Pantanal,Num gesto sagrado de amor
11,À Beira do Pantanal,O sangue que dela jorrava
12,À Beira do Pantanal,A sede da terra acalmou
13,À Beira do Pantanal,E lá onde jaz o seu corpo
14,À Beira do Pantanal,Cresceu junto com o capim
15,À Beira do Pantanal,Seus lindos cabelos negros que eu
16,À Beira do Pantanal,Regava como um jardim
17,À Beira do Pantanal,A lei dos homens me condenou:
18,À Beira do Pantanal,Perpétua será tua prisão
19,À Beira do Pantanal,Porque foi eu mesmo quem calou
20,À Beira do Pantanal,Com aço aquele coração
21,À Beira do Pantanal,E eu preso aqui nessa cela
22,À Beira do Pantanal,Deixando minha vida passar
23,À Beira do Pantanal,Ainda escuto a voz dela
24,À Beira do Pantanal,No vento que vem perguntar:
25,À Beira do Pantanal,"""Por que, meu querido"
26,À Beira do Pantanal,"Por que, meu amor"
27,À Beira do Pantanal,Cravaste em mim teu punhal?
28,À Beira do Pantanal,Meu peito tão jovem sangrando assim
29,À Beira do Pantanal,Por que esse golpe mortal?
30,À Beira do Pantanal,Cravaste em mim teu punhal
31,À Beira do Pantanal,Por que esse golpe mortal??
32,A Geração da Luz,Eu já ultrapassei a barreira do som
33,A Geração da Luz,Fiz o que pude às vezes fora do tom
34,A Geração da Luz,Mas a semente que eu ajudei a plantar já nasceu
35,A Geração da Luz,Eu vou
36,A Geração da Luz,Eu vou m'embora apostando em vocês
37,A Geração da Luz,Meu testamento deixou minha lucidez
38,A Geração da Luz,Vocês vão ver um mundo bem melhor que o meu
39,A Geração da Luz,Quando algum profeta vier lhe contar
40,A Geração da Luz,Que o nosso sol tá prestes a se apagar
41,A Geração da Luz,Mesmo que pareça que não há mais lugar
42,A Geração da Luz,Vocês ainda têm
43,A Geração da Luz,Vocês ainda têm
44,A Geração da Luz,A velocidade da luz pra alcançar
45,A Geração da Luz,Vocês ainda têm
46,A Geração da Luz,Vocês ainda têm
47,A Geração da Luz,A velocidade da luz pra alcançar
48,A Geração da Luz,Então vai lá!
49,A Geração da Luz,"Além, depois dos velhos preconceitos morais"
50,A Geração da Luz,"Dos calabouços, bruxas e temporais"
51,A Geração da Luz,Onde o passado transcendeu a um reinado de paz
52,A Geração da Luz,Vocês serão o oposto dessa estupidez
53,A Geração da Luz,Aventurando tentar outra vez
54,A Geração da Luz,A geração da luz é a esperança no ar
55,A Geração da Luz,Quando algum profeta vier lhe contar
56,A Geração da Luz,Que o nosso sol tá prestes a se apagar
57,A Geração da Luz,Mesmo que pareça que não há mais lugar
58,A Geração da Luz,Vocês ainda têm
59,A Geração da Luz,Vocês ainda têm
60,A Geração da Luz,A velocidade da luz pra alcançar
61,A Geração da Luz,Vocês ainda têm
62,A Geração da Luz,Vocês ainda têm
63,A Geração da Luz,A velocidade da luz pra alcançar
64,A Hora do Trem Passar,Você tão calada e eu com medo de falar
65,A Hora do Trem Passar,Já não sei se é hora de partir ou de chegar
66,A Hora do Trem Passar,Onde eu passo agora não consigo te encontrar
67,A Hora do Trem Passar,Ou você já esteve aqui ou nunca vai estar
68,A Hora do Trem Passar,"Tudo já passou, o trem passou, o barco vai"
69,A Hora do Trem Passar,Isso é tão estranho que eu nem sei como explicar
70,A Hora do Trem Passar,"Diga, meu amor, pois eu preciso escolher"
71,A Hora do Trem Passar,"Apagar as luzes, ficar perto de você"
72,A Hora do Trem Passar,Ou aproveitar a solidão do amanhecer
73,A Hora do Trem Passar,Pra ver tudo aquilo que eu tenho que saber
74,A Ilha da Fantasia,Vamos logo que já tá na hora de zarpar
75,A Ilha da Fantasia,Vem sem medo que não vamos naufragar
76,A Ilha da Fantasia,Navegador!
77,A Ilha da Fantasia,"Não se esqueça, meu amigo, de chamar o seu vizinho"
78,A Ilha da Fantasia,Navegador!
79,A Ilha da Fantasia,Vê se na praça tem alguém para vir
80,A Ilha da Fantasia,"A barca de Noé já vai partir, navegador"
81,A Ilha da Fantasia,A barca de Noé já vai partir
82,A Ilha da Fantasia,Navegador!
83,A Ilha da Fantasia,"Não se esqueça, meu amigo, de chamar o seu vizinho"
84,A Ilha da Fantasia,Navegador!
85,A Ilha da Fantasia,Vê se na praça tem alguém pra vir
86,A Ilha da Fantasia,"A barca de Noé tá pra sair, navegador"
87,A Ilha da Fantasia,A barca de Noé já vai partir
88,A Ilha da Fantasia,Vamos escolher bem melhores condições
89,A Ilha da Fantasia,Longe desse triste carnaval de ilusões
90,A Ilha da Fantasia,Navegador!
91,A Ilha da Fantasia,Deixa os que sonham em ser felizes
92,A Ilha da Fantasia,Habitando o paraíso
